snapped_at,price,market_cap,total_volume
2019-10-01 00:00:00 UTC,0.37892887004534287,1108221.0574089366,13053.348164180312
2019-10-02 00:00:00 UTC,0.36755260775898607,1031052.6730069312,46707.1298129622
2019-10-03 00:00:00 UTC,0.36755260775898607,1031052.6730069312,46707.1298129622
2019-10-04 00:00:00 UTC,0.37102819967718875,996968.123057731,20989.27972846152
2019-10-05 00:00:00 UTC,0.3714475752184118,998095.0024877936,20539.464194241293
2019-10-06 00:00:00 UTC,0.3731945007283127,981692.054051241,3323.6854245696677
2019-10-07 00:00:00 UTC,0.43424162174519987,1118786.8229732928,40561.273531072744
2019-10-08 00:00:00 UTC,0.4261077253902875,1077592.3545798152,80317.8647555249
2019-10-09 00:00:00 UTC,0.46207280633235875,1146261.2017693305,40715.95516763498
2019-10-10 00:00:00 UTC,0.5222753745117604,1272804.4723654343,115302.97217520619
2019-10-11 00:00:00 UTC,0.5765725533347704,1381925.317719719,33236.98453919543
2019-10-12 00:00:00 UTC,0.6940675983173837,1700185.8877643046,52109.31424333006
2019-10-13 00:00:00 UTC,0.5307629615414439,1283882.247390951,10144.156322839564
2019-10-14 00:00:00 UTC,0.5788292274175466,1378654.6426041985,78706.97783606542
2019-10-15 00:00:00 UTC,0.5252230446710091,1231785.7349645747,55261.437014814976
2019-10-16 00:00:00 UTC,0.5067163340907207,1168931.4753183548,28422.47282272343
2019-10-17 00:00:00 UTC,0.508526363891905,1153063.021695792,23035.1753230209
2019-10-18 00:00:00 UTC,0.5179157274747669,1152606.224614211,2635.1175368292706
2019-10-19 00:00:00 UTC,0.5175187263486974,1143069.3538230897,5794.014082753877
2019-10-20 00:00:00 UTC,0.41525913802648345,899597.0336364199,14882.737366249277
2019-10-21 00:00:00 UTC,0.41227848398172934,875440.6342424367,11792.921865896675
2019-10-22 00:00:00 UTC,0.41260566238266255,1134184.5939773535,1762.0628306139834
2019-10-23 00:00:00 UTC,0.4118673334534925,1109874.9036659473,825.65379616126
2019-10-24 00:00:00 UTC,0.4099233808588409,1082784.0163987677,1324.1556035225428
2019-10-25 00:00:00 UTC,0.22662869248285294,586866.8130697425,433.3541348966688
2019-10-26 00:00:00 UTC,0.4014913278745425,1123844.0528607336,16548.189225847145
2019-10-27 00:00:00 UTC,0.4148563746312215,1179228.7737609118,1377.4096699394067
2019-10-28 00:00:00 UTC,0.36572070670712153,1017625.7960653945,41149.60024535454
2019-10-29 00:00:00 UTC,0.3281555223200945,893276.9130241243,21420.326936373393
2019-10-30 00:00:00 UTC,0.35149848212345713,934232.843020098,26254.27798354649
2019-10-31 00:00:00 UTC,0.3301891843474676,878332.7626385555,2334.8873518964724
2019-11-01 00:00:00 UTC,0.31603564063960876,785063.6380212621,11991.457410121873
2019-11-02 00:00:00 UTC,0.3334131987616648,771342.099718825,21198.399301637975
2019-11-03 00:00:00 UTC,0.3290134810522037,709072.8095497926,39126.48888034848
2019-11-04 00:00:00 UTC,0.694643580467964,1399619.1434640123,326412.93012138887
2019-11-05 00:00:00 UTC,0.7130467372351936,1370763.4194928398,73099.78483699322
2019-11-06 00:00:00 UTC,0.5522618766811396,1032290.9934871637,69569.5218310033
2019-11-07 00:00:00 UTC,0.46714198070343604,838537.6059070772,57011.91334676457
2019-11-08 00:00:00 UTC,0.5986425219273376,1018491.532426982,303229.4225171494
2019-11-09 00:00:00 UTC,0.5705958840352517,931998.2843175732,141776.11897549697
2019-11-10 00:00:00 UTC,0.5650778255615456,886210.0584790643,119678.03828866615
2019-11-11 00:00:00 UTC,0.5841543997105451,876428.6578574916,213670.65616505558
2019-11-12 00:00:00 UTC,0.5985262031868709,858972.5406899654,437171.74213883816
2019-11-13 00:00:00 UTC,0.6307802921584936,866939.5669405881,437370.75007331494
2019-11-14 00:00:00 UTC,0.7859094128207509,1040419.084056118,994983.6978194639
2019-11-15 00:00:00 UTC,0.6753134637186703,868900.7342202484,834574.6782410708
2019-11-16 00:00:00 UTC,0.6660173451889917,829448.7551082505,3286737.124982531
2019-11-17 00:00:00 UTC,0.787959824706372,959242.4417284656,4012025.1454431335
2019-11-18 00:00:00 UTC,1.391423608052878,1632462.7182746865,6677300.542426314
2019-11-19 00:00:00 UTC,1.002357607730084,1176695.5596836978,176015.37597907183
2019-11-20 00:00:00 UTC,1.0011048809841796,1191338.3632187687,142661.54332172807
2019-11-21 00:00:00 UTC,0.9796676915772389,1166756.3229974757,79033.07632656839
2019-11-22 00:00:00 UTC,0.9770574589739252,1160014.0920374899,69662.61435748276
2019-11-23 00:00:00 UTC,0.9849920151082184,1168383.6348228126,500924.0383749234
2019-11-24 00:00:00 UTC,1.0608185317994838,1259708.8071290308,1031497.3821358202
2019-11-25 00:00:00 UTC,0.9982703626975898,1189931.5622576366,707333.0794302557
2019-11-26 00:00:00 UTC,1.0121729340894978,1202370.4463524208,1177087.8736658324
2019-11-27 00:00:00 UTC,0.9972042419971042,1306134.6472036203,1177680.9755539007
2019-11-28 00:00:00 UTC,0.9746490321793776,1299017.318864475,1154502.9170201456
2019-11-29 00:00:00 UTC,1.0261274919615364,1348423.0636384739,902666.7044886702
2019-11-30 00:00:00 UTC,1.0339739940699073,1363798.3197876315,800862.8830485973
2019-12-01 00:00:00 UTC,1.0021770035686088,1310700.5811991673,1106330.0125423549
2019-12-02 00:00:00 UTC,1.0274083898318702,1354522.735967956,1226606.633918786
2019-12-03 00:00:00 UTC,1.0034798131179263,1419082.479378627,1099191.8948776068
2019-12-04 00:00:00 UTC,0.976158340963866,1377341.0305639626,1026377.4259375574
2019-12-05 00:00:00 UTC,0.9897626755532318,1401185.3634118126,1189243.394910898
2019-12-06 00:00:00 UTC,0.9863457627067233,1397197.9289826269,1217486.4607134105
2019-12-07 00:00:00 UTC,1.0267375816376267,1437711.6446684725,1255843.3244205394
2019-12-08 00:00:00 UTC,1.1005767897008827,1553870.5621511624,1171705.8010941122
2019-12-09 00:00:00 UTC,1.0834120429725917,1534182.3709862293,971557.633096054
2019-12-10 00:00:00 UTC,1.0772890822645236,1554168.6763876537,1010409.625927443
2019-12-11 00:00:00 UTC,1.056454143690726,1526234.675964283,973505.6513921078
2019-12-12 00:00:00 UTC,1.0467261950077162,1519829.5615945435,1001005.4651028267
2019-12-13 00:00:00 UTC,1.0525963048769544,1526039.0066346305,895088.8805262225
2019-12-14 00:00:00 UTC,1.0398686822066578,1501548.8029536647,963761.6256850554
2019-12-15 00:00:00 UTC,1.020085562545284,1473976.115178823,844205.2766990002
2019-12-16 00:00:00 UTC,1.0398084455768237,1499299.2237727721,925764.5062211918
2019-12-17 00:00:00 UTC,1.0356391907497209,1486235.185559313,686633.5169820976
2019-12-18 00:00:00 UTC,1.010215126582586,1461626.127934893,544111.4320539826
